Bandwidth,NSS,Modulation,codingRate,Datarate,receiversensitivity
160,7,64QAM,0.750000,3685.500000,-68.160756
160,7,64QAM,0.833333,4095.000000,-67.703756
20,8,256QAM,0.750000,693.300000,-71.316656
80,7,256QAM,0.750000,2457.000000,-65.242056
40,6,256QAM,0.833333,1200.000000,-67.685356
40,7,BPSK,0.500000,94.500000,-92.447356
40,7,QPSK,0.500000,189.000000,-86.427356
40,7,QPSK,0.750000,283.500000,-84.666356
40,7,16QAM,0.500000,378.000000,-82.357356
40,7,16QAM,0.750000,567.000000,-80.596356
40,7,64QAM,0.666667,756.000000,-75.040356
160,7,256QAM,0.750000,4914.000000,-62.231756
80,7,256QAM,0.833333,2730.000000,-64.785056
80,7,BPSK,0.500000,227.500000,-88.632056
40,7,64QAM,0.750000,850.500000,-74.529356
80,7,QPSK,0.500000,455.000000,-82.611056
80,7,QPSK,0.750000,682.500000,-80.851056
80,7,16QAM,0.500000,910.000000,-78.542056
80,7,16QAM,0.750000,1365.000000,-76.781056
40,7,64QAM,0.833333,945.000000,-74.071356
80,7,64QAM,0.666667,1820.000000,-71.225056
80,7,64QAM,0.833333,2275.000000,-70.256056
160,7,256QAM,0.833333,5460.000000,-61.774756
160,7,BPSK,0.500000,455.000000,-85.621756
160,7,QPSK,0.500000,910.000000,-79.600756
160,7,QPSK,0.750000,1365.000000,-77.840756
160,7,16QAM,0.500000,1820.000000,-75.531756
160,7,16QAM,0.750000,2730.000000,-73.770756
160,7,64QAM,0.666667,3640.000000,-68.214756
40,7,256QAM,0.750000,1134.000000,-68.600356
160,7,64QAM,0.750000,4095.000000,-67.703756
80,7,256QAM,0.750000,2730.000000,-64.785056
160,7,64QAM,0.833333,4550.000000,-67.245756
40,7,256QAM,0.833333,1260.000000,-68.142356
40,7,BPSK,0.500000,105.000000,-91.990356
40,7,QPSK,0.500000,210.000000,-85.969356
